axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angleXY(rads) 	 angleZ(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
3141592.653589793	1645.4954954954956	3	0.9043978851243346	1.3169302537775396	3.316582914572864e-10	0
3141592.653589793	1382.882882882883	3	-1.4121300311590483	1.1582639581416916	2.914572864321606e-10	2
3141592.653589793	2963.5135135135133	2	1.189997217268861	0.8091981077428256	3.5175879396984926e-10	0
3141592.653589793	2839.6396396396394	1	-0.26973270258094173	1.189997217268861	-2.3115577889447236e-10	1
3141592.653589793	927.027027027027	1	-0.9995976625058433	1.3169302537775396	1.6984924623115577e-09	2
3141592.653589793	1714.8648648648648	1	0.9995976625058436	-1.4755965494133876	8.944723618090451e-10	0
3141592.653589793	1021.1711711711712	3	0.9995976625058436	-0.9995976625058433	-9.346733668341709e-10	2
3141592.653589793	1368.018018018018	3	1.539063067667727	-1.5707963267948966	1.6984924623115577e-09	2
3141592.653589793	1506.7567567567567	2	-1.5390630676677268	-1.189997217268861	1.8994974874371857e-09	2
3141592.653589793	3473.873873873874	2	0.11106640694509373	0.42839899821678995	-6.733668341708544e-10	1
3141592.653589793	1764.4144144144145	2	-0.6822650712341469	0.015866629563584977	7.1356783919598e-10	1
3141592.653589793	1273.873873873874	2	0.7774648486156561	-1.5707963267948966	9.547738693467338e-10	2
3141592.653589793	1888.2882882882882	2	-0.9678644033786736	-0.3966657390896202	1.819095477386935e-09	1
3141592.653589793	1571.1711711711712	3	-0.015866629563584755	0.04759988869075449	-7.738693467336684e-10	2
3141592.653589793	2428.3783783783783	3	0.23799944345377222	1.189997217268861	9.748743718592967e-10	2
3141592.653589793	1521.6216216216217	3	-0.3649324799624507	-0.8726646259971648	-3.115577889447237e-10	2
3141592.653589793	3176.5765765765764	1	0.6505318121069776	0.5870652938526382	-1.035175879396985e-09	0
3141592.653589793	1095.4954954954956	1	1.2217304763960306	-0.5553320347254684	-1.899497487437186e-09	0
3141592.653589793	1036.036036036036	3	-1.189997217268861	-0.46013225734395946	1.035175879396985e-09	2
3141592.653589793	2572.072072072072	3	-0.11106640694509373	1.380396772031879	3.316582914572864e-10	2
3141592.653589793	798.1981981981982	3	-0.936131144251504	-1.189997217268861	-7.1356783919598e-10	2
3141592.653589793	272.97297297297297	3	-1.2851969946503699	0.5870652938526382	-3.9195979899497504e-10	1
3141592.653589793	1179.7297297297298	1	1.348663512904709	0.5235987755982991	-1.8190954773869348e-09	2
3141592.653589793	1982.4324324324325	3	0.8726646259971647	0.6505318121069776	-1.6582914572864323e-09	2
3141592.653589793	3032.8828828828828	2	-0.2062661843266025	1.0947974398873521	-3.115577889447237e-10	2
3141592.653589793	887.3873873873874	2	-1.3169302537775396	-1.348663512904709	6.733668341708542e-10	1
3141592.653589793	2745.4954954954956	1	-0.6822650712341469	-1.2851969946503699	-1.9798994974874372e-09	0
3141592.653589793	1769.3693693693695	2	1.2217304763960306	0.6822650712341471	-2.914572864321608e-10	1
3141592.653589793	1769.3693693693695	3	1.031330921633013	-0.2062661843266025	1.4773869346733667e-09	0
3141592.653589793	3602.702702702703	2	-1.1265306990145216	-0.30146596170811146	-1.6582914572864323e-09	0
3141592.653589793	391.8918918918919	2	0.8409313668699951	-1.4755965494133876	-1.8391959798994977e-09	1
3141592.653589793	253.15315315315314	3	0.5870652938526382	-1.5707963267948966	3.015075376884433e-11	2
3141592.653589793	1214.4144144144145	1	0.11106640694509373	-1.5073298085405573	1.6783919597989952e-09	0
3141592.653589793	931.981981981982	2	0.7457315894884862	-0.3649324799624507	1.6783919597989952e-09	2
3141592.653589793	2349.099099099099	3	-0.8409313668699951	0.9043978851243346	-5.0251256281407215e-11	0
3141592.653589793	1234.2342342342342	2	0.39666573908962044	-0.6822650712341469	-1.4572864321608043e-09	1
3141592.653589793	2641.4414414414414	3	-0.8409313668699951	-0.7457315894884862	-1.2562814070351758e-09	0
3141592.653589793	1040.9909909909911	2	1.28519699465037	1.443863290286218	1.1557788944723618e-09	2
3141592.653589793	1571.1711711711712	1	1.5707963267948966	0.30146596170811146	2.914572864321606e-10	2
3141592.653589793	3255.8558558558557	3	-0.8091981077428254	0.17453292519943298	-1.7185929648241208e-09	0
3141592.653589793	1263.963963963964	3	0.6505318121069776	0.9995976625058436	4.522613065326633e-10	1
3141592.653589793	1977.4774774774776	3	-0.5870652938526381	-1.0313309216330129	1.5979899497487436e-09	1
3141592.653589793	1278.8288288288288	1	0.4918655164711292	0.07933314781792422	-3.115577889447237e-10	2
3141592.653589793	1789.1891891891892	2	-1.3803967720318788	-0.4918655164711292	1.9396984924623115e-09	0
3141592.653589793	2220.2702702702704	2	1.380396772031879	-0.9995976625058433	4.522613065326633e-10	2
