timestep,r_collision,z_collision,vr_collision,vz_collision
7921,2.7710392564206836e-12,4.792891926667426e-06,75.75528351433726,-2785.287240329216
7922,2.789351209121081e-12,4.792891252674465e-06,75.75508538662417,-2788.255038195341
7923,2.8076062071910016e-12,4.792890580055868e-06,75.75488242984706,-2791.2433887520447
7924,2.8258043091821e-12,4.792889908808969e-06,75.75467455398434,-2794.2524150355666
7925,2.8439455737646414e-12,4.792889238931101e-06,75.75446166774834,-2797.2822405981674
7926,2.8620300597312804e-12,4.792888570419607e-06,75.75424367857187,-2800.3329895081856
7927,2.8800578260008317e-12,4.792887903271832e-06,75.75402049259472,-2803.4047863500787
7928,2.8980289316223095e-12,4.792887237485126e-06,75.7537920146501,-2806.4977562242607
7929,2.915943435778508e-12,4.792886573056847e-06,75.75355814825092,-2809.612024747234
7930,2.9338013977900294e-12,4.792885909984355e-06,75.75331879557602,-2812.7477180513915
7931,2.9516028771190317e-12,4.792885248265016e-06,75.75307385745633,-2815.9049627849895
7932,2.969347933372971e-12,4.7928845878962e-06,75.75282323336084,-2819.083886112107
7933,2.9870366263084703e-12,4.7928839288752845e-06,75.75256682138259,-2822.2846157124904
7934,3.0046690158350454e-12,4.792883271199649e-06,75.75230451822446,-2825.50727978148
7935,3.022245162019e-12,4.792882614866681e-06,75.75203621918502,-2828.7520070297896
7936,3.0397651250871344e-12,4.792881959873769e-06,75.75176181814405,-2832.0189266833995
7937,3.057228965430439e-12,4.792881306218311e-06,75.75148120754822,-2835.3081684834356
7938,3.074636743607961e-12,4.792880653897705e-06,75.7511942783965,-2838.6198626858995
7939,3.091988520350433e-12,4.792880002909359e-06,75.75090092022552,-2841.954140061551
7940,3.1092843565641127e-12,4.7928793532506805e-06,75.75060102109488,-2845.311131895602
7941,3.126524313334343e-12,4.792878704919086e-06,75.75029446757232,-2848.690969987609
7942,3.1437084519294093e-12,4.792878057911995e-06,75.74998114471877,-2852.0937866510994
7943,3.1608368338040733e-12,4.792877412226833e-06,75.74966093607343,-2855.5197147134313
7944,3.177909520603401e-12,4.792876767861028e-06,75.74933372363853,-2858.968887515393
7945,3.194926574166219e-12,4.7928761248120154e-06,75.74899938786426,-2862.4414389110702
7946,3.2118880565289144e-12,4.792875483077234e-06,75.74865780763338,-2865.9375032674143
7947,3.228794029928947e-12,4.792874842654126e-06,75.74830886024588,-2869.457215464012
7948,3.245644556808434e-12,4.792874203540141e-06,75.74795242140345,-2873.000710892769
7949,3.262439699817852e-12,4.792873565732733e-06,75.74758836519393,-2876.5681254574706
7950,3.2791795218194953e-12,4.792872929229358e-06,75.74721656407559,-2880.1595955735106
7951,3.295864085891006e-12,4.792872294027479e-06,75.74683688886137,-2883.7752581675377
7952,3.3124934553289723e-12,4.792871660124565e-06,75.746449208703,-2887.4152506770088
7953,3.329067693652372e-12,4.792871027518086e-06,75.74605339107502,-2891.0797110498465
7954,3.3455868646060837e-12,4.792870396205519e-06,75.74564930175875,-2894.7687777440055
7955,3.3620510321642456e-12,4.792869766184345e-06,75.745236804826,-2898.4825897271458
7956,3.3784602605338093e-12,4.79286913745205e-06,75.74481576262298,-2902.2212864760972
7957,3.394814614157895e-12,4.792868510006124e-06,75.74438603575375,-2905.985007976469
7958,3.411114157719168e-12,4.7928678838440615e-06,75.74394748306389,-2909.773894722209
7959,3.4273589561431895e-12,4.792867258963363e-06,75.74349996162391,-2913.588087715152
7960,3.4435490746017433e-12,4.792866635361531e-06,75.74304332671252,-2917.427728464559
7961,3.4596845785161774e-12,4.792866013036076e-06,75.74257743179997,-2921.292958986602
7962,3.475765533560723e-12,4.79286539198451e-06,75.74210212853114,-2925.1839218038403
